Time(s),Distance(mm)
7.275606300525045,9.931039690607037
7.276606383865323,9.876369605221583
7.277606467205601,9.931039690607037
7.27860655054588,9.931039690607037
7.279606633886158,9.931039690607037
7.280606717226436,9.931039690607037
7.281606800566714,9.876369605221583
7.282606883906993,9.876369605221583
7.283606967247271,9.821699519836159
7.2846070505875495,9.876369605221583
7.285607133927828,9.876369605221583
7.286607217268107,9.876369605221583
7.287607300608385,9.767029434450706
7.288607383948663,9.767029434450706
7.289607467288941,9.821699519836159
7.29060755062922,9.821699519836159
7.291607633969498,9.767029434450706
7.292607717309776,9.657689263679828
7.293607800650054,9.767029434450706
7.294607883990333,9.767029434450706
7.295607967330612,9.767029434450706
7.29660805067089,9.712359349065267
7.297608134011169,9.767029434450706
7.298608217351447,9.712359349065267
7.299608300691725,9.657689263679828
7.300608384032003,9.712359349065267
7.301608467372282,9.657689263679828
7.30260855071256,9.657689263679828
7.303608634052838,9.657689263679828
7.3046087173931165,9.657689263679828
7.3056088007333955,9.603019178294375
7.306608884073674,9.54834909290895
7.307608967413952,9.657689263679828
7.30860905075423,9.657689263679828
7.309609134094509,9.657689263679828
7.310609217434787,9.603019178294375
7.311609300775065,9.54834909290895
7.312609384115343,9.54834909290895
7.313609467455622,9.54834909290895
7.3146095507959,9.493679007523497
7.3156096341361785,9.439008922138058
7.3166097174764575,9.384338836752619
7.317609800816736,9.384338836752619
7.318609884157014,9.384338836752619
7.319609967497292,9.329668751367166
7.320610050837571,9.220328580596288
7.321610134177849,9.274998665981741
7.322610217518127,9.220328580596288
7.323610300858405,9.11098840982541
7.324610384198684,9.165658495210849
7.325610467538962,9.11098840982541
7.3266105508792405,9.11098840982541
7.327610634219519,9.056318324439957
7.328610717559798,9.056318324439957
7.329610800900076,9.001648239054532
7.330610884240354,9.001648239054532
7.331610967580632,9.001648239054532
7.332611050920911,8.946978153669079
7.333611134261189,8.946978153669079
7.334611217601467,8.89230806828364
7.335611300941745,8.837637982898201
7.336611384282024,8.782967897512748
7.3376114676223025,8.782967897512748
7.338611550962581,8.618957641356431
7.33961163430286,8.509617470585539
7.340611717643138,8.400277299814661
7.341611800983416,8.290937129043783
7.342611884323694,8.072256787502013
7.343611967663973,8.017586702116574
7.344612051004251,7.853576445960243
7.345612134344529,7.6348961044184875
7.346612217684807,7.580226019033034
7.3476123010250864,7.2522055067203866
7.348612384365365,7.197535421334948
7.349612467705643,6.814844823636861
7.350612551045921,6.65083456748053
7.3516126343862,6.322814055167868
7.352612717726478,6.104133713626112
7.353612801066756,5.721443115928025
